CustomerID,CustomerName,Region,SignupDate,TotalValue,Quantity,Cluster
C0001,Lawrence Carroll,South America,10-07-2022,3354.5200000000004,12.0,1
C0002,Elizabeth Lutz,Asia,13-02-2022,1862.74,10.0,2
C0003,Michael Rivera,South America,07-03-2024,2725.38,14.0,1
C0004,Kathleen Rodriguez,South America,09-10-2022,5354.88,23.0,0
C0005,Laura Weber,Asia,15-08-2022,2034.24,7.0,2
C0006,Brittany Palmer,South America,07-01-2024,4227.57,12.0,1
C0007,Paul Graves,Asia,18-06-2022,2579.8199999999997,8.0,1
C0008,David Li,North America,13-01-2024,4271.61,20.0,1
C0009,Joy Clark,Europe,14-08-2023,896.5,3.0,2
C0010,Aaron Cox,Europe,15-12-2022,1717.5500000000002,12.0,2
C0011,Bryan Mathews,South America,12-12-2022,3730.0,13.0,1
C0012,Kevin May,South America,07-08-2024,5231.259999999999,19.0,0
C0013,Lauren Buchanan,South America,19-05-2024,6000.56,18.0,0
C0014,Deborah Wilcox,Europe,22-06-2024,318.66,2.0,2
C0015,Tina Duran,North America,20-11-2023,1157.48,4.0,2
C0016,Emily Woods,North America,03-01-2024,3874.42,10.0,1
C0017,Jennifer King,Europe,05-12-2023,4753.82,21.0,0
C0018,Tyler Haynes,North America,21-09-2024,4781.85,18.0,0
C0019,Brandon Rodriguez,Europe,12-01-2023,2185.8199999999997,11.0,2
C0020,Mr. Manuel Conway,North America,11-06-2024,922.41,3.0,2
C0021,Robert Blanchard,Asia,17-04-2023,5419.92,17.0,0
C0022,Teresa Esparza,Asia,27-10-2023,4655.07,15.0,0
C0023,Nicholas Cain,Europe,04-03-2022,5158.65,14.0,0
C0024,Michele Cooley,North America,05-02-2024,3627.02,14.0,1
C0025,Gregory Odom,South America,04-07-2022,1589.81,8.0,2
C0026,Sara Miller,North America,03-05-2024,3549.05,12.0,1
C0027,Justin Heath,Asia,09-11-2022,2562.94,12.0,1
C0028,Jennifer Pena,Asia,29-06-2024,6819.57,24.0,0
C0029,Erin Manning,North America,16-04-2022,1785.8700000000001,10.0,2
C0030,Mark Brock,North America,30-01-2024,2549.6800000000003,13.0,1
C0031,Tina Miller,South America,11-04-2024,2005.38,10.0,2
C0032,Dustin Campbell,South America,17-04-2024,673.0,5.0,2
C0033,Tyler Holt,North America,04-08-2024,132.64,2.0,2
C0034,Dalton Perez,North America,27-09-2023,3073.2000000000003,17.0,1
C0035,Brianna Richardson,North America,01-10-2024,2587.61,10.0,1
C0036,Brian Aguilar DDS,North America,06-07-2024,1877.96,8.0,2
C0037,Linda Smith,Europe,04-02-2023,4252.77,14.0,1
C0038,Jeffrey Perkins,North America,16-04-2022,2696.85,13.0,1
C0039,Angela Harris,South America,13-10-2024,4239.6,18.0,1
C0040,Michael Harrell,Asia,07-03-2022,3969.3999999999996,10.0,1
C0041,Lindsey Deleon,Europe,27-12-2023,6149.78,23.0,0
C0042,Heather Riley,North America,15-03-2023,2402.49,6.0,1
C0043,Sandy Short MD,Asia,05-02-2023,1131.3200000000002,6.0,2
C0044,Kenneth Alexander,Europe,10-07-2024,3230.1099999999997,7.0,1
C0045,Michael Williams,Asia,25-02-2022,6021.8,23.0,0
C0046,Beth Cardenas,North America,23-10-2024,5627.83,19.0,0
C0047,Samantha Frank,North America,22-03-2024,2870.54,13.0,1
C0048,Matthew Park,South America,07-11-2024,3850.9399999999996,12.0,1
C0049,Jason Yates,North America,18-09-2024,2315.48,17.0,1
C0050,Ryan Davis,North America,02-03-2024,3068.83,8.0,1
C0051,Nicholas Ellis,Europe,21-12-2023,5699.57,16.0,0
C0052,Stanley Aguirre,South America,20-02-2024,2488.01,10.0,1
C0053,Albert Burke,Europe,18-06-2022,5316.46,18.0,0
C0054,Bruce Rhodes,Asia,29-09-2024,8040.389999999999,24.0,0
C0055,Lauren Williams,North America,11-11-2024,2857.6800000000003,12.0,1
C0056,Erika Fernandez,Asia,12-04-2024,3182.94,12.0,1
C0057,Elizabeth Nguyen,Europe,27-07-2024,4536.4,16.0,0
C0058,Zachary Turner,North America,28-01-2024,396.34,1.0,2
C0059,Mrs. Kimberly Wright,North America,07-04-2024,7073.28,21.0,0
C0060,James Murphy,Europe,22-04-2022,82.36,2.0,2
C0061,Brandon Escobar,Europe,06-03-2023,2138.26,6.0,2
C0062,Jeffery Hartman,Europe,14-12-2022,1639.54,8.0,2
C0063,Wayne Ferguson,Europe,05-02-2024,1378.1699999999998,5.0,2
C0064,Martha Montgomery,Europe,22-10-2023,4039.77,13.0,1
C0065,Gerald Hines,North America,10-07-2024,7663.7,27.0,0
C0066,Catherine White,Europe,15-11-2024,3799.2799999999997,9.0,1
C0067,Carl Gonzalez,North America,06-07-2023,4090.84,14.0,1
C0068,Mark Cox,North America,04-04-2023,5950.42,22.0,0
C0069,Stacy Foster,Europe,03-12-2023,2878.69,10.0,1
C0070,Timothy Perez,Europe,15-03-2022,3125.49,12.0,1
C0071,Taylor Murphy,South America,01-07-2022,1400.83,7.0,2
C0072,Sarah Scott,North America,24-07-2024,2999.59,13.0,1
C0073,Heidi Johnson,Europe,20-08-2022,2060.54,10.0,2
C0074,Jonathan Russo,Europe,27-05-2022,3055.2200000000003,8.0,1
C0075,Misty Higgins,Europe,01-05-2023,5848.97,28.0,0
C0076,Emily Roberts,South America,11-02-2024,2333.06,11.0,1
C0077,Scott Sims,South America,18-10-2023,837.3,7.0,2
C0078,Julia Palmer,Asia,13-11-2024,995.52,2.0,2
C0079,Brian Murillo,North America,02-02-2022,4251.5599999999995,12.0,1
C0080,David Gonzalez,Asia,07-02-2024,1007.52,3.0,2
C0081,Kimberly Turner,Europe,24-02-2024,3542.48,14.0,1
C0082,Aimee Taylor,South America,13-05-2022,7572.91,23.0,0
C0083,Christina Stark,South America,07-04-2022,642.8,4.0,2
C0084,Belinda Garner,Asia,17-09-2024,4441.1,20.0,1
